sector,fiscal_year,number_of_agents,total_apprehensions,other_than_mexican_apprehensions,marijuana_pounds,cocaine_pounds,accepted_prosecutions,assaults,rescues,deaths,accompanied_juveniles,unaccompanied_juveniles,total_juveniles,total_adults,female_apprehensions,male_apprehensions,family_apprehensions
tucson,1982,,32344,,,,,,,,,,,,,,
yuma,1982,,48236,,,,,,,,,,,,,,
southwest border,1982,,745820,,,,,,,,,,,,,,
big bend,1981,,17584,,,,,,,,,,,,,,
del rio,1981,,50455,,,,,,,,,,,,,,
el centro,1981,,59774,,,,,,,,,,,,,,
el paso,1981,,146872,,,,,,,,,,,,,,
laredo,1981,,36910,,,,,,,,,,,,,,
rio grande valley,1981,,32809,,,,,,,,,,,,,,
san diego,1981,,326836,,,,,,,,,,,,,,
tucson,1981,,33085,,,,,,,,,,,,,,
yuma,1981,,45483,,,,,,,,,,,,,,
southwest border,1981,,749808,,,,,,,,,,,,,,
big bend,1980,,15602,,,,,,,,,,,,,,
del rio,1980,,50762,,,,,,,,,,,,,,
el centro,1980,,57009,,,,,,,,,,,,,,
el paso,1980,,127488,,,,,,,,,,,,,,
laredo,1980,,39167,,,,,,,,,,,,,,
rio grande valley,1980,,35012,,,,,,,,,,,,,,
san diego,1980,,285984,,,,,,,,,,,,,,
tucson,1980,,33668,,,,,,,,,,,,,,
yuma,1980,,45862,,,,,,,,,,,,,,
southwest border,1980,,690554,,,,,,,,,,,,,,
big bend,1979,,20116,,,,,,,,,,,,,,
del rio,1979,,50262,,,,,,,,,,,,,,
el centro,1979,,55532,,,,,,,,,,,,,,
el paso,1979,,149722,,,,,,,,,,,,,,
laredo,1979,,50666,,,,,,,,,,,,,,
rio grande valley,1979,,41915,,,,,,,,,,,,,,
san diego,1979,,337930,,,,,,,,,,,,,,
tucson,1979,,37075,,,,,,,,,,,,,,
yuma,1979,,52580,,,,,,,,,,,,,,
southwest border,1979,,795798,,,,,,,,,,,,,,
big bend,1978,,23501,,,,,,,,,,,,,,
